ProjectId,CityId,LocalityId,ProjectName,BuilderId,BuilderName 
1,7,7502,Unitech Grande,63911,GE Construction
2,7,79,Omaxe Twin Towers,4,Omaxe
3,222,5677,Unitech Capella Star,3,Unitech Group
12121,5,331,Goyal Builder Floors,31927,Goyal Homes
6,222,1991,Unitech Verve,3,Unitech Group
291883,48680,48681,Hari Sunder Nagar,71565,Hari Property Deals
7,8,7494,Unitech Harmony,22627,Unitech Group and Pioneer Urban
1259,7,162,Sunworld Vanalika,92,Sunworld Builders
9,222,1692,Parsvnath Privilege,11,Parsvnath Developers 
10,5,4725,Parsvnath Paramount,11,Parsvnath Developers 
301727,219,1147,Nirmaan Radhakrishna,79281,Nirmaan Developers 
13,217,2248,Prestige South Ridge,13,Prestige Group 
15,217,32025,Brigade Petunia,14,Brigade Group
295941,22,368,ND Magnolia Apartments,74241,ND Ventures
16,21,6785,Brigade Courtyard,14,Brigade Group
17,217,2262,Brigade Jasmine,14,Brigade Group
18,8,6138,Raheja Navodaya,5,Raheja Developers
232,19,840,Kumar Palmgrove,77,Kumar Properties 
222,19,835,Kumar Picasso,77,Kumar Properties 
319535,34,3635,PS Navarathna Flats,89037,PS Foundations 
300547,300,33111,Krushna Indradhanu,61077,Krushna Associates 
268229,22,45812,Manani Roshini Enclave,11082,Manani Projects
258477,21,246,Redifice Bird of Paradise,23444,Redifice Developers
62187,108,7833,Manchanda Kaisville Country Homes,11206,Manchanda and Manchanda Builders 
95822,15,11950,Satpanth Om Namah Shivay Kalash,3218,Satpanth Group Builders
24,222,2215,Eldeco Citadel,10,Eldeco Builders
293597,142,16096,Sai Nanki Vihar,72719,Sai Harda Construction 
293745,217,2249,Sona Vistaas,72817,Sona Heights 
136335,3,14,RWA Chittaranjan Park Block M,6774, 
27,7,11014,Eldeco Olympia,10,Eldeco Builders
266268,421,12414,Gurukiran Regency,55556,Guru Kiran Enterprises 
274251,19,21789,Ivory Tathastu,59949,Ivory Lifespaces LLP and Vasant Group
30,9,13320,Parsvnath Regalia,11,Parsvnath Developers 
321111,177,2322,Shreshth Krishan Kunj,91387,Shreshth Group 
317309,49,14730,Kavisha Urbania,7418,Kavisha Corporation Builders 
32,7,11016,Omaxe The Forest Spa,4,Omaxe
15090,14,22713,DSS Mahavir Majestik,3334,Damji Shamji Shah Group Builders 
13776,218,3230,Raj Paradise,6774, 
34,217,11836,Sobha Carnation,16,Sobha Developers 
35,22,368,Brigade Paramount,14,Brigade Group
36,252,2367,Brigade Gateway,14,Brigade Group
269473,34,654,Aarish Tara Homes,57639,Aarish Builders
37,21,14720,Sobha Lifestyle,42833,Renaissance Holdings and Sobha Developers
38,217,10904,Sobha Daffodil,16,Sobha Developers 
294789,48,9942,Bala Shree Ram Homes,72115,Bala Tripur Sundari Developers 
294785,300,48411,Ameya Shardul Homes,64665,Ameya Developers 
40,217,31919,Mantri Espana,17,Mantri Developers
41,217,12330,Mantri Tranquil,17,Mantri Developers
278405,34,14452,Vishnu Manickam Villas,60121,Vishnu Builders Chennai
278311,421,12482,Royal Grandeur,19171,Royal Builders Riagad
278229,147,36693,Adya Royal Palms,7098,Adya Group Builders
45,172,7186,Emaar The Views Apartments,6,Emaar Mgf Developers 
46,172,7186,Emaar MGF The Villas,6,Emaar Mgf Developers 
265467,222,8927,Indian Oil Heights,55029,IEGHS and BS Buildtech 
281465,5,331,Shri Radhey Residency,42277,Shri Radhey Properties 
48,458,15096,Parsvnath Castle,11,Parsvnath Developers 
275701,162,11150,Bhavishya Aastha Orchid,16936,Bhavishya Homes
49,73,2501,Omaxe Greens,4,Omaxe
53,177,5756,Uppal Group Housing,22,Uppal Builders 
278269,34,579,Avittam Pumpukar,52357,Avittam Homes
297847,27,1043,Shreshta Priya,294,Shrestha Construction Builders 
272049,217,10884,Shubham Dreamz,9670,Shubham Samrudhi 
261288,131,6655,Siddhi Anjaneya Apartments,29329,Siddhi Homes 
59,217,2264,Elita Horizon,23,Elita Homes Builders 
63305,275,7887,MAAD Nakoda Heights,57537,Maad Group and Shreenath Enterprise
332,3,224,Golf Links Bungalow,115,Golf Links 
18716,269,3424,Uma Aadya Mansion,18978,Umas Developers
61,222,14530,Eldeco Aurum,10,Eldeco Builders
28606,220,6154,CGHS Nishat,44839,CGHS Group Delhi 
63,217,46352,Prestige Silver Dale,13,Prestige Group 
64,21,14720,Concorde Vedic Village,24,Concorde Group Builders
65,217,5390,Vakil Whispering Woods,25,Vakil Housing Development Corporation
66,217,2259,Vakil Townscape,25,Vakil Housing Development Corporation
67,21,5324,Sobha Petunia,16,Sobha Developers 
68,171,37245,Omaxe Royal Residency,4,Omaxe
69,21,257,Sobha Althea,16,Sobha Developers 
77,131,6649,ABAD Bluechip,28,ABAD Builders
290269,275,12004,Ramnagar Shanti Gardens,70387,Ramnagar Development Corporation 
78,130,47521,ABAD The Chancellor,28,ABAD Builders
81,36,6633,Alliance Bougainvillea,30,Alliance Group Builders
83,3,7,Indiabulls Castlewood,31,Indiabulls Builders
26168,19,31281,Rachana Bella Casa,11110,Rachana Lifestyle
29878,220,6152,Green Heavens CGHS,44839,CGHS Group Delhi 
29854,220,7419,CGHS Pacific Apartments,44839,CGHS Group Delhi 
86,9,804,Ashiana Le Residency,25624,Ashiana Homes and Landcraft Developers 
13438,14,4881,Lok Kailash,7358,Lok Housing Group
89,310,8270,Nanu Sapana Oasis,34,Nanu Estates 
90,80,8279,Gera Astoria,35,Gera Builders
91,324,14992,Nanu Sapana Greensville,34,Nanu Estates 
92,324,8257,Nanu Sapana Whispering Palms,34,Nanu Estates 
93,324,7766,Nanu Sapana Orchid,34,Nanu Estates 
94,21,6785,Tata Aquila Heights,36,Tata Housing 
330499,15,11950,Aaditya Rudra,6774, 
95,324,8257,Akar Aquamarina,8962,Akar Realty
96,324,8257,Prudential Pristine,27273,Risara Properties
97,323,8243,Prudential Le Valencia,27273,Risara Properties
26838,220,6157,CGHS Sriniketan Apartment,44839,CGHS Group Delhi 
112,29,8012,Unitech The Gateway,3,Unitech Group
99,324,8266,Asian Exotica,39,Asian Constructions
100,324,8266,Asian Paradise,39,Asian Constructions
101,324,8257,Akar Excelsior,8962,Akar Realty
102,324,15098,Palacio Waterfront,40,Palacio
103,80,8279,Nanu Sapana Sea Mist,34,Nanu Estates 
104,324,8266,Asian Dona Rosa II,39,Asian Constructions
106,73,2500,Unitech Aspen Greens,3,Unitech Group
107,21,5344,IDEB Riverspring,41,IDEB 
108,22,11988,Parkway Tivoli,8282,Parkway Developments 
64288,14,4904,Hiranandani Heritage,2710,Hiranandani Builders 
57970,205,9164,Eldeco Saubhagyam,10,Eldeco Builders
211335,131,6649,Kakkanad Flats,6774, 
271043,177,2322,Sun India South Avenue,5420,Sun India Developers 
113,28,1503,Unitech Harmony,3,Unitech Group
114,28,1503,Unitech Air,3,Unitech Group
115,28,1495,Sureka Sunrise Greens,44,Sureka Group Builders
116,28,1495,Mani Ratnam,58673,mani 
118,26,488,Shrachi New Shrachi Garden,335,Shrachi Realty 
302281,48,7624,Bhagel Shiv Krupa Residency,79633,Bhagel Construction
119,323,8240,Palacio Villa Saanta Rita,40,Palacio
3030,275,12006,SKD Pinnacolo,77027,SKD and Akshita and Dimples and Kanungo Group
121,126,14996,Brigade Solitaire,14,Brigade Group
122,126,11766,Brigade Tiara,14,Brigade Group
123,126,9054,Brigade Elite 1,14,Brigade Group
126,22,2268,Sobha Celsia,16,Sobha Developers 
128,8,11060,BPTP Park Serene,20,BPTP Builders
129,217,8315,Salarpuria Symphony,47,Salarpuria Group Builders
301371,95,27845,Rakholiya Vardai Heights,79003,Rakholiya Enterprise 
14512,15,18774,Haware Nirmiti,3038,Haware Builders
131,217,10916,Salarpuria Serenity,802,Salarpuria Sattva Group Builders 
132,27,603,Eden Flora,48,Eden Group 
133,27,603,Eden Fresco,48,Eden Group 
134,27,8721,Eden Woods,48,Eden Group 
135,27,603,Eden Orchid,48,Eden Group 
136,29,46752,USE Kolkata West International City,40127,Universal Success Enterprises
137,217,10868,NCC Urban Nagarjuna Premier,49,NCC Urban infrastructures Builders 
138,131,6649,NCC Urban Nagarjuna Green Valley,49,NCC Urban infrastructures Builders 
139,131,6649,Nitesh Wimbledon Gardens,50,Nitesh Estates Builders
140,131,6649,NCC Urban Nagarjuna Laurel,49,NCC Urban infrastructures Builders 
141,131,6651,DLF Riverside,9,DLF Builders 
142,8,4844,Emaar MGF Garden Terraces,6,Emaar Mgf Developers 
81616,19,6270,GK Rose Woods,12398,GK Associates
77411,34,567,TNHB MIG Plot,10324,Tamil Nadu Housing Board 
11685,19,15476,Urban 198 City hub,6774, 
144,177,5756,Uppal Canary Residency,22,Uppal Builders 
145,8,13008,ILD Greens,51,ILD Builders 
146,22,368,Nitesh Forest Hills,50,Nitesh Estates Builders
147,35,731,Atmosphere Lifesyle Mist,52,Atmosphere Lifestyle Homes 
149,21,257,NCC Nagarjuna Aster Park,49,NCC Urban infrastructures Builders 
150,35,731,Atmosphere Lifestyle Rainforest,52,Atmosphere Lifestyle Homes 
263643,34,21233,A J Flats Brindhavan,6774, 
300677,151,10106,SBC Soham,78503,SB Constructions Nasik 
304515,46,16216,Anand Residency,78931,Anand Developers DEHGAM
154,10,2396,KLJ La Vista,54,Klj Town Planners Builders 
155,8,7492,Sidhartha Laguna Oaks,55,Sidhartha Buildtech
156,22,46309,NCC Urban Nagarjuna Maple Heights,49,NCC Urban infrastructures Builders 
157,4,8118,Emaar Mgf Commonwealth Games Village 2010,6,Emaar Mgf Developers 
302833,21,12118,Spectra City,6774, 
299889,204,10004,Ratan Grand,6160,Ratan Housing Development Builders 
261268,177,31343,RLB Florida City,1912,Rlb Group Builders 
197723,15,22355,Nav Durga Tower,6774, 
260366,28,26285,Realtech Rajarhat Residency,1978,Realtech Nirman
160,177,5756,DLF Town Houses,9,DLF Builders 
161,73,2500,Unitech Executive Floors,3,Unitech Group
163,9,7706,Assotech The Nest,58,Assotech Builders
164,269,3062,NCC Urban Nagarjuna Residency,49,NCC Urban infrastructures Builders 
265709,34,20883,Redbrick Jayakrishna,25518,Redbrick Realtor 
165,268,2581,Alliance Inner Circle,30,Alliance Group Builders
166,269,28215,Emaar MGF Boulder Hills,57727,Emaar Properties 
169,269,5160,Indu Fortune Fields Gardenia,24273,Indu Projects
259799,269,2682,Nature Heights,52823,Nature Homes 
171,8,7490,Vatika Bellevue Residences,8,Vatika Group 
172,131,6645,Trinity Periyar Sands,27,Trinity Builders 
173,131,7705,Trinity Periyar Winds,27,Trinity Builders 
296103,95,9012,Shanta Godavari,74359,Shanta Godavari Infra
174,21,31629,Prestige Golfshire,13,Prestige Group 
323447,1008530,6069,Subh Labh Aavas Yojna,92571,Gandhinagar Urban Development Authority
